00000                    ^0┌──── ┌────┐ ┌────┐  │    │  │    │  │    /
00040                    ^1│     │    │ │    │  │    │  │    │  │   / 
00080                    ^2│     │    │ │    │  │    │  │    │  │  /  
000c0                    ^3│     │    │ │    │  ├────┤  │   /│  │_/   
00100                    ^4│     │    │ │    │  │    │  │  / │  │ \   
00140                    ^5│     │    │ │    │  │    │  │ /  │  │  \  
00180                    ^6│     │    │ │    │  │    │  │/   │  │   \ 
001c0                    ^7│     └────┘ │    │  │    │  │    │  │    \
00200                                                  ^0Версия 1.02
059a6  ^0 Ловкость -  +5% попадания если больше 90% то можно бить дважды.
059e9  ^0 Живучесть - 5 здоровья
05a03  ^0 Удача - будет чаще везти по жизни
05a28  ^0 
05a2c  ^0 Здоровье = 10+Живучесть*5+Сила
05a4e  ^0 Урон = (Сила/2)мин - (Сила)макс урону который нанесёшь 
05a89  ^0 Точность = (20+Ловкость*5)%
05aa8  ^0 Броня - насколько уменьшается сила вражеского удара.
05ae0  ^0 Спомощью разных вещей можно улутшать навыки, урон, броню и т.д.
05b23  ^0 Заходя вразные места, ты узнаешь чего полезного можно из них получить.
05b6d  ^0 Придя в новый район, ты должен находить все эти места снова.
05bad  ^0 Хочешь спросить а че от них толку та?
05bd6  ^0 Базар    - Покупаешь шмотки и еду. Можно воровать кошельки - Поднимай Удачу
05c25  ^0 Больница - Лечить переломы и царапины
05c4e  ^0 Подруга  - Ты бомжуешь по кабакам и забыл че такое здоровый образ жизни. У неё
05ca0  ^0            дома ты можешь пожить пару дней как человек - Поправить здоровье
05cef  ^0 Притон   - Там тусуются реальные пацаны, много че можно сделать, заходи туда
05d3f  ^0            почаще. А главное ты можешь позвать братву, если дела идут хреново,
05d91  ^0            следи за притонной понтовостью.
05dbf  ^0 Клуб     - Можно играть на бабло(Качай Удачу), но тамошние гопники не любят
05e0e  ^0            проигрывать
05e28  ^0 Качалка  - Там можно повысить свои бойцовские навыки
05e60  ^0 Барыги   - Продают вещи и арсенала гопника, им ты можешь спихнуть награбленый
05eb1  ^0            хлам и продать ненужные вещи(Выделеные красным в твоей статистике)
05f02  ^0Если не видать чё вверху - выйди и открой у G.exe:Свойства/Экран/Исходный размер
0633d  \
0633f  save_r?.sav
0634b  ^1или
06351  ^1Можно начать с 
06363   района
0636b  ^1Можно начать с того места где ты сохранился
06399  ^0Нажми цифру с какого района начать. 1-начать сначала
063d0  save_r
063d7  .sav
063dc  ^0Загружено из save_r
063f2  places.sav
063fd  ^0Загружено из places
06413  ^6Чё-то глюкануло - немогу прoгрузить Places:Ресет ту Default
06451  ^6Чё-то глюкануло - нaверно нет такого сейва, Default:1
06489  ^4Gopnik: ^7version 1.02 june,sept 2003
064b1  Год 2xxx от Р.Х.
064c2  Последний день ты пришел в универ
064e4  Ты по-страшному косил и забивал
06504  Ты ещё мог сдать все задания, которые ты взял у друзей
0653b  Но тут...
06545  ^6Ректор: Ах ты урод, чёртов забивала. Вали из универа!
0657d  ^2Ты: А типа чё?
0658e  ^6Ректор: Ты отчислен мудак!!! Как ты был лохом так и останешься.
065d0  ^4Это слышали все и ты из пацана превратился в опушенного.
0660b  Ты неможешь стерпеть такой наезд, однако ректор офигительно крутой.
0664f  Ты решил доказать свою крутизну всему миру(в твоем понимании - Городу).
06697  Выбери кем ты будешь: 
066ae  0-Пацан
066b6  1-Отморозок
066c2  2-Гопник
066cb  3-Вор
066d1  4-Чё за батва?
066e0  ^1Пацан - это нормальный тип. (Бонус - Гёлфренд, Клуб).
06718  ^1Отморозок - тупой корявый мудак. (Бонус - Самолечение царапин).
0675a  ^1Гопник - гоп он и есть гоп. (Бонус - Притон)
06789  ^1Вор - везучий ублюдок. (Бонус - Воровство, Барыги)
067be  А теперь выбирай: 
067d1  ^2А зовут тебя:^7 
067e4  Раз^6дол^4бай
067f2  ^7 
067f6  ^1Ты стоишь у дверей университета.
06819  ^1Отсюда ты начнешь свой нелёгкий путь гопника.
06849  ^1Ты сел на автобус и попёрся на шлюз...
06872  ^1Там бродит шлюзовская шпана.
06891  ^1На маршрутке ты доехал до ОбьГЭСа...
068b8  ^1Здесь бродит уже более крутая гопота.
068e0  ^1Ты приехал в Ельцовку...
068fb  ^1Ото всюду доносятся крики запинываемых.
06925  ^1Пора наконец отомстить ректору...
06949  Доказать свою крутизну ты можешь, отпинывая разных мудаков.
06985  Тебе придётся поработать над сабой, чтобы стать крутым.
069bd  Введи ^6i^7 чтобы посмотреть команды, введи ^6help^7 что бы узнать чё за батва.
07148  := 5
07167  := 4
07186  := 3
071a0  := 3
073ee  Бродя по окрестностям с самыми грязными намериниями...
07425  Ты встретил великого мага и экстрасенса - Рушеля Блаво.
0745d  За # рублей он может сделать сохранение прямо здесь.
07492  Ты хочешь сохраниться?
074a9  y
074ab  save_r0.sav
074b7  places.sav
074c2  ^0Сохранено! ^1Можешь беспредельничать дальше.
074f1  ^6Парень, все стоит бабок!
0750c  ^6Нехотите как хотите - мое дело предложить
0777c  Бродя по окрестностям с самыми грязными намериниями...
077b3  Ты наткнулся на храм Божий.
077cf  ^1Бог: "А ты опять."
077e4  ^1Ну ладно насылаю на тебя "благославление"
07810  В прошлый раз Бог сказал чтобы ты не осквернял своей рожей святой храм
07857  Но надо бы типа помолиться о прощении
0787d  ^2"Господи, Братан, прости грешника опять".
078a9  ^1Бог: "Да блин, упорный чудак!"
078ca  ^1Ладно насылаю на тебя, типа, "моё благославление" снова
07904  Раз такая батва...
07917  Надо типа помолиться Господу Богу...              
0794a  Как делают новыё русские.
07964  ^2"Господи, Братан, прости грешника". - Начал было ты...
0799d  ^1Громовой голос: "Да пошел ты на хрен!"
079c6  ^2 - Эээ.. типа.. а чё?..
079e0  ^1 - "а чё?" блин! 
079f4  ^1-
079f8   чёртов!
07a01  ^2Ну..
07a08  ^1Ладна насылаю на тебя, типа, "моё благославление"
07a3c  ^1Да увеличится твоя понтовость!
07a5d  ^1Был ты 
07a67   а стал 
07a70  ^1Да увеличиться твоя сила!
07a8c  ^1Да уменьшиться твоя корявость!
07aad  ^1Да возрастут твой силы жизненные!
07ad1  ^1Да снизойдет на тебя удача!
07aef  ^1Дарю тебе феньку!
07b03  ^1Кольцо "Помоги Господи"
07b1d  ^1"Мега Кольцо"! со своего, можно сказать, пальца
07b4f  ^1Ваще полезное кольцо "Господи помилуй"
07b78  ^1Восст. жизни - 3, 5% - самозарост переломов
07ba6  ^1Накладываю на тебя защиту!
07bc3  ^1Да увеличится, офигенно, твоя понтовость среди гопоты!
07bfc  ^1Получи #!
07c08  ^1А теперь вали отсюда и никогда здесь не появляйся!
07c3d  ^1А теперь проваливай!
07c54  Ты идещь дальше...
082b3  ^1Ты доказал, что ты самый крутой в этом районе - отправляйся в следующий
082fd  ^0Хочешь сохранить свои достижения?
08321  \
08323  y
08325  save_r
0832c  .sav
08331  ^1Сохранено в save_r
08346  ^1Ты сел на автобус и попёрся на шлюз...
0836f  ^1Там бродит шлюзовская шпана.
0838e  ^1На маршрутке ты доехал до ОбьГЭСа...
083b5  ^1Здесь бродит уже более крутая гопота.
083dd  ^1Ты приехал в Ельцовку...
083f8  ^1Ото всюду доносятся крики запинываемых.
08422  ^1Пора наконец отомстить ректору...
08446  ^1Ты пробрался в универ, в тёмный ректорский кабинет...
0847e  ^1А вот и он...
0848e  w
08490  run
08494  ^6Глюки прошли. Сила -2.
084ad  ^6Забегал мудак.
084be  Телефон:^6Алё, ты где? Приходи, мы вещицу для тебя раздобыли.(Иди к барыгам)
0850b  Телефон:^6Алё,
0851a  ^6? ты где щас? Тут помощь нужна.(Иди в притон)
0854a  ^6? ты щас где? Базар есть.(Иди в притон)
08574  Телефон:^6Алё Вася?
08588  ^2Нет это 
08593  .
08595  Телефон:^6А Васю можно?
085ad  ^2Нет, он будет в больнице в ближайшие 2 месяца.
085de  Телефон(Твоя пассия):^5Привет, это я. Зайдешь ко мне сегодня?
0861c  ^2А ты: Безбазаров, жди.
08635  Телефон:^2Это ты там на базаре шухер наводил? Ну короче там менты свалили.
08680  Телефон:^2Ты че там, в клуб-та пойдёшь. Уже утряслось всё.
086bb  ^1Ты спросил у прохожего где больница.
086e2  ^1Ты нашел базар.
086f4  ^1Ты увидел объявление "Типа заходи в наш понтовый клуб".
0872e  ^1На стене реклама "Жизнь тяжела. Если не хочешь сдохнуть качайся!".
08773  ^2Твоя нога залечилась с Божей помощью.
0879b  ^2Твоя челюсть залечилась с Божей помощью.
087c6  ^2Опа бабки! # рублей на пиво!
087e5  ^6Ты зашел на тропинку где бродит искитимская гопота.
0881b  ^6Ты зашел в какие-то дебри подваротен.
08843  ^6Ты зашел на планы.
08858  ^6Ты зашел чёрте куда.
0886f  ^6Ты вышел с тропинки.
08886  ^6Ты вышел из подваротен.
088a0  ^6Ты вышел с планов.
088b5  ^6Ты вышел чёрте откуда.
088ce  ^5Идет типа клёвая цыпа. Хочешь её зацепить?
088fb  ^5Ты такой подкатываешь, а она:"Глянулся ты мне парниша"
08934  ^4Ты ещё подкатить неуспел - а она:"Отдыхай урод". - Тебя обломали кент
0897c  Совсем ничё не происходит.
08997  ^6Идет 
0899f   # уровня. Хочешь наехать?
089ba   # уровня, ищущий кого отпинать. Хочешь наехать?
089eb  ^4Он тебя заметил.
089fe  ^2Ты смылся.
08a0b  ^6Идет ментяра # уровня гроза гопов.
08a30  ^2Ты затаился, прикинулся не гопом... Мент вроде не заметил
08a6c  ^2Ты напялил тёмные очки и мент не узнал твою рожу, которая весит на почётном
08aba  ^2стенде "Разыскиваются за гопничество"
08ae2  ^4Запалил!
08aed  Все куда-то плывёт - совсем башню заклинило
08b19  ^6Чё за ботва? ни кого нет.. глюки какие-то...
08b48  Ничё не происходит.
08b5c  mar
08b60  Ты пришел на базар напиши  ^6w^7  чтобы уйти.
08b8e  Можно потискать здесь у лохов кошельки(^6t^7).
08bbd  А можно чё-то купить
08bd2  ^61^7 - ^
08bdc  #^7 руб.  Хотдог(3-4 з)
08bf4  ^62^7 - ^
08bfe  #^7 руб.  Пиво(#з)
08c11  ^63^7 - ^
08c1b  #^7 руб. Затемнённые очки(Чтоб менты не узнали)
08c4b  ^64^7 - ^
08c55  #^7 руб. Реальный спортивный костюм abibas(Смягчает пинок на 1)
08c95  ^65^7 - ^
08c9f  #^7 руб. Понтовые бутсы(Увеличивают урон)
08cc9  ^66^7 - ^
08cd3  #^7 руб. Реальную кожанку(Дополнительная защита от случайностей на 2)
08d19  ^67^7 - ^
08d23  #^7 руб. Реальный спортивный костюм adidas(Смягчает пинок на 2)
08d63  ^68^7 - ^
08d6d  #^7 руб. Понтовёйшие бутсы(Урон+2)
08d90  ^69^7 - ^
08d9a  #^7 руб. Ваще крутую кожанку(Броня +4)
08dc1  ^0Базар\
08dca  1
08dcc  ^4Ты не можешь хавать из-за сломаной челюсти.
08dfa  ^4Чёрт, бабок даже на жратву не хватает.
08e23  ^2Ты сожрал хот-дог
08e37  ^6Да неохота хавать
08e4b  2
08e4d  ^4Не хватает
08e5a  ^2Глинское? Чё за нафиг? А ладно.
08e7c  ^2Пивко. Холодненькое.
08e93  ^2Ну чё по пиву?.
08ea5  3
08ea7  ^4Не хватает бабок
08eba  ^2Модные такие очки от солнца.
08ed9  ^6У тебя есть очки от солнца.
08ef7  4
08ef9  ^4Не хватает денег
08f0c  ^2Теперь ты больше похож на гопа.
08f2e  ^6У тебя уже есть костюм.
08f48  ^6У тебя есть более крутой костюм.
08f6b  5
08f6d  ^4Нету на них денег
08f81  ^2Зацени красовки.
08f94  ^6У тебя такие уже есть.
08fad  ^6У тебя бутсы по круче.
08fc6  6
08fc8  ^4Не достаточно бабла
08fde  ^2Ну весь на понтах.
08ff3  ^6Ты уже купил это.
09007  ^6Утебя есть кожанка круче.
09023  7
09025  ^2Чистый гопник.
09036  ^6У тебя уже есть этот костюм.
09055  8
09057  ^2Офигенные бутцы.
0906a  9
0906c  ^2Ну крутой, сдохнуть можно!
09089  t
0908b  ^6Ты получаешь # качков опыта
090a9  ^4Корявый! ты попался!
090c0  ^6Это 
090c7   # уровня.
090d2  ^6Блин менты запалят сматывайся!.
090f4  ^6На базар пока нельзя там менты бродят, тебя ищут.
09128  ^6Ты незнаешь, пока ешё, где находтся базар
09154  bmar
09159  Ты пришел к барыгам напиши  ^6w^7  чтобы уйти.
09188  Здесь можно толкнуть хлам(^6x^7) и купить кое-что
091ba  Ещё ты можешь продать ненужные вещи - ^6wes^7
091e8  #^7 руб. Косяк
091f7  #^7 руб. Краденый мобильник(Подмога быстрее приходит)
0922d  #^7 руб. Офигенный косяк(Очко прокачки)
09255  #^7 руб. Сделать типа зоновскую наколку(Шансы, что наедут -50%(кроме бандитов, ментов и маньяков))
092b8  #^7 руб. Кастет(урон+2)
092d0  #^7 руб. Дубинка(урон+4), заменяет кастет
092fa  #^7 руб. Самопальный пистолет (Можно стрелять в бандитских районах - ^6f^7 урон(#-#)).
09351  #^7 руб. Патроны - 6.
09367  #^7 руб. Глушитель.
0937b  ^0Барыги\
09385  ^4Чёрт, бабок не хватает.
0939f  ^2Ты купил косяк
093b0  ^4Нету денег
093bd  ^2Чё ты модный типа да?.
093d6  ^6У тебя уже есть мобила.
093f0  ^2Пошли стероиды!
09402  ^1Сила +1 
0940d  ^1Ловкость +1 
0941c  ^1Живучесть +1 
0942c  ^1Удача +1 
09438  ^2Чистый зек.
09446  ^6Сделать, конечно, можно но толку не будет.
09473  ^4Не хватает деньжат
09488  ^2Ты купил кастет смотри чтоб менты с ним не запалили.
094bf  ^6У тебя есть эта железка.
094da  ^6Нафиг тебе он нужен, когда есть более мощное оружие.
09511  ^4Не хватает на дубинку деньжат
09531  ^2Ты купил дубинку - похоже задумал чё-то нехорошее.
09566  ^6У тебя есть дубина.
0957c  ^6Да нафиг она нужна, когда есть более мощное оружие.
095b2  ^4Дорогая штука!
095c3  ^2Спасайся кто может!!!
095db  ^0Только помни стреляй в бандитских районах - там менты не накроют
0961e  ^6Ну.. ты.. ВАЩЕ ОФИГЕЛ!
09637  ^4Нехватка денег.
09649  ^2Получи пять пуль.. на руки
09666  ^6Нету пушки. Сначала купи пистолет
0968a  ^4Подкопи бабла.
0969b  ^2Теперь стреляй где хочешь!
096b8  ^6Да купил уже, купил
096ce  x
096d0  ^6Барыги дали тебе денег за хлам.
096f2  ^4Тебе нечего спихнуть.
0970a  wes
0970e  ^2У тебя есть ненужный костюм хочешь продать?
0973c  ^0Продать вещи\
0974c  ^2Ты продал костюм за #.
09765  ^2У тебя есть ненужные кроссовки хочешь продать?
09796  ^2Ты продал кроссовки за #.
097b2  ^2У тебя есть ненужная кожанка хочешь продать?
097e1  ^2Ты продал кожанку за #.
097fb  ^2У тебя есть кастет, а это отстой хочешь продать?
0982e  ^2Ты продал кастет за #.
09847  ^2У тебя есть дубинка - барахло - хочешь продать?
09879  ^2Ты продал дубинку за #.
09893  ^2У тебя есть ножик и тeсак, хочешь продать ножик?
098c6  ^2Ты продал ножик за #.
098de  ^6У тебя нет неужных вещей.
098fc  ^6Туда любого дебила с улицы непропустят - сначала докажи, что ты не засранец - отпинай побольше ублюдков
09966  rep
0996a  Ты пришел на ремот, к ветеринару напиши  ^6w^7  чтобы уйти
099a5  ^0Док: не волнуйся всё зарастёт как на собаке
099d3    ^2h^7 - за ^
099e2  3^7 рубля тебя залатают
099fa    ^2r^7 - за ^
09a09  7^7 рублей починят переломы
09a25  ^0Док: вали отсюда ты здоров.
09a43  ^0Ветеренар\
09a50  r
09a52  ^0Ого! да тебя не иначе как грузовик откатал!
09a80  ^2Твои переломы залечены.
09a9a  ^4Блин халявщик, медицина не бесплатная
09ac2  h
09ac4  ^0Щас гайки подтянем и будешь как новый!
09aed  ^0Так чё тут у нас? Ага, пара швов и всё будет в порядке.
09b27  ^6Эй, Док а зачем тебе паяльник?
09b48  ^0Док: Молчи животное!
09b5f  ^2Здоровья #/#
09b6e  e
09b70  ^6Сначала найди где находтся эта больница
09b9a  girl
09b9f  ^2Ты пришел к своей подруге.
09bbc  ^2Она вытащила тебя в клуб и теперь ты знаешь где он находиться.
09bfd  ^6Ты купил ей чё-то, потратив 12 рублей.
09c26  ^2Ты расслабился, отдохнул и снова можешь творить свои гоповские дела.
09c6d  ^6Ну непойдёшь же как придурок без ничего.
09c98  ^4У тебя пока нет девчонки.
09cb4  fight
09cba  ^6Пережитки прошлого жми ^6w^7 чтобы искать врагов
09ced  pr
09cf0  Ты пришел в притон - 
09d06  ^0общагу №#
09d12  ^0общагу ВКИ
09d1f  ^0гоповский притон
09d32  ^0притон отморозков
09d46  ^6На одного пацана наехал какой-то урод
09d6e  ^6Ты пацан нормальный. Есть дело.
09d90  ^6Пацаны хотят тебе кое-чё сказать
09db3  Напиши ^6w^7 чтобы уйти
09dcb  Напиши ^
09dd4  p^7  чтобы угостить пацанов пивом
09df6  r^7  чтобы занять 2 рубля
09e10  Напиши ^6hp^7 чтобы отпинать мудака который наезжал на пацана
